lmin,iters
0.24195968162197884,102
0.04786292646413466,581
0.8607778709923631,14
0.2563378279870082,97
0.12799516632426178,204
0.853185769785723,15
0.28163824151887284,87
0.13182617617473005,199
0.8622671653785935,14
0.34317620896768514,64
0.14864928892232993,169
0.8514727595717575,15
0.24034660468230035,101
0.053353440704652574,510
0.8444205809172318,15
0.2838496616197589,83
0.047820636762241145,575
0.8611708750491099,14
0.35988271381635445,64
0.12784249243789075,184
0.8548781283207368,15
0.22542955844457474,112
0.07003836019426453,363
0.8605065695642675,14
0.2862519477779465,86
0.11190524962286183,220
0.8602070834643961,14
0.2534334180424096,98
0.08805951760227176,317
0.8598911959310502,14
0.355034349758815,66
0.13175634217466475,202
0.8526516921409909,14
0.35515439619063305,64
0.06184735725901132,445
0.8532840229299252,15
0.26876783953551087,92
0.05057761685508254,540
0.8442723141639565,15
0.3407744468592935,64
0.09008955441686164,295
0.8669012582057307,14
0.2905341624271578,82
0.05366268401055685,527
0.8392360040579625,16
0.2370584742518369,106
0.07991267035390912,314
0.8480956292303574,15
0.2771848196552778,87
0.2284946328308633,106
0.8573783305228113,14
0.2807443246640674,91
0.10122797506844039,263
0.8498481653380845,15
0.29365621199756453,87
0.10610600494153581,248
0.8619793314696739,14
0.3370505451707263,70
0.11092260676684573,236
0.8518511093875712,15
0.27094418686597455,92
0.06562948783524061,416
0.8419398670494475,15
0.2509716651077345,98
0.07106236962086437,388
0.857335071332259,14
0.3113457395012187,77
0.05299256846159622,541
0.867068164323112,14
0.31722796369322503,76
0.07222839068649813,382
0.8499683174686496,15
0.20879518902599797,121
0.15528505613301233,167
0.8583560551292531,14
0.3539506390488638,67
0.08274685550206316,325
0.8571980351279488,14
0.2382001642819752,103
0.1363257799432326,190
0.8512128693745649,15
0.2615924021863242,94
0.059809926590831064,451
0.8491222164885824,15
0.2472457830346202,103
0.07597700335523,368
0.8474585579297722,15
0.21637636823310252,119
0.11627511613359864,223
0.8544214746029934,15
0.23196449236821684,108
0.08830717800496973,300
0.8568696021534626,14
0.2555460768297133,99
0.06066038823940512,459
0.8536963918514756,14
0.25994675362574626,96
0.0915553430602979,284
0.8652681085771281,14
0.28713508780381436,84
0.049035313239965184,551
0.8490133166407221,15
0.35429009684204826,65
0.059320857638030765,454
0.8676551848904772,14
0.35277434282755465,63
0.06042198022657397,463
0.8583228362352733,14
0.32585628553419876,72
0.09496647137995873,291
0.8649800623913466,14
0.26277529562913393,91
0.06694140706923403,365
0.8653157076325859,13
0.28651179762066403,84
0.10077664711885034,272
0.8629933956218321,14
0.2362049105018595,108
0.1282718299195828,190
0.8453470176608611,15
0.2941658172486915,81
0.10036758464031247,259
0.8544178369295912,14
0.32462453206950703,74
0.2053796884317925,121
0.8577719929897962,14
0.228614893595449,103
0.1223191506594892,202
0.8500514825774824,14
0.30162407610741543,78
0.2251914918554217,103
0.8501197152397807,15
0.30131044945808627,75
0.06378182139493944,436
0.8514445048825856,15
0.36453220405074527,66
0.05148211208761595,549
0.8467026471464707,15
0.21842709277225247,114
0.08933792772852911,304
0.8570816854148919,14
0.20779111564093322,121
0.06081763334034175,447
0.8523257296580746,14
0.2115814321785685,117
0.058093260880068096,434
0.8653659362562974,14
0.2718677232296688,92
0.15415250248722073,153
0.8489606830722525,15
0.23992169318803286,102
0.06367059823288003,437
0.8524219937876442,15
0.22478010305470109,111
0.04972893450051838,550
0.8587308201878157,14
0.3036831107482696,79
0.0660676123963858,424
0.8519260652553153,15
0.3174352611472553,76
0.07028901627540855,406
0.8562149192726667,14
0.29513680644756424,80
0.042870864197775915,656
0.8471558937313681,15
0.25585641604937154,94
0.10396256050391572,255
0.8563263074904303,14
0.22996191222836732,108
0.11341559368608282,238
0.8589594910463851,14
0.30203936174897306,80
0.13230148497977484,204
0.8529546279916551,15
0.2874635291980463,87
0.06554147559286883,382
0.858713183462615,14
0.27753773682887817,90
0.05523195575780687,517
0.8643238773299178,14
0.27406692291161716,92
0.13677016203432796,192
0.862503349696961,14
0.23322691260373613,108
0.06278061783568688,449
0.86545026744664,13
0.2809344132295337,87
0.054753597852535994,511
0.842437740378342,15
0.40081581876090944,58
0.20780417797011402,118
0.851024024380309,14
0.2766149615580621,85
0.06121716324614748,453
0.8469222054024408,15
0.2439513834020976,101
0.04558256123770997,597
0.8534756098582128,14
0.259292803080334,96
0.0580687680884418,472
0.8345040808242413,16
0.34951310140998115,67
0.06265521452872733,454
0.8526248383014352,14
0.3027855312888136,80
0.07073835150532493,387
0.8468416595042172,15
0.2555084169625048,98
0.10059220622183465,266
0.8348581242332023,16
0.3062342654543884,77
0.1800749650772871,141
0.8471775658180882,15
0.23761133064494758,106
